adm_des;competencia;saldo_mov;media_sal_mensal
1;201407;1746794;1181.01104423303
2;201303;-1736695;1151.74201572527
2;201408;-1647390;1312.44468887149
1;201309;1805457;1113.52277788948
2;201304;-1741252;1163.29881028134
2;201208;-1718825;1104.52528267857
2;201306;-1648356;1199.51112017064
2;201512;-1513236;1505.51471812725
1;201302;1774407;1066.33597365204
2;201206;-1611885;1097.05998008543
1;201609;1142795;1372.24525483573
2;201505;-1580244;1392.80223497131
2;201308;-1718264;1220.52758132627
1;201210;1710580;1018.09228916508
2;201203;-1769378;1041.59936316604
1;201304;1938168;1080.37692037016
2;201407;-1735000;1291.74825706052
1;201205;1785074;1002.54405307567
2;201205;-1645390;1079.57827019734
2;201404;-1757131;1272.13031925337
1;201201;1711483;994.84327276403
2;201301;-1765369;1113.05408840871
2;201409;-1646644;1300.47274881517
2;201611;-1220514;1592.43565333949
1;201504;1527678;1244.23079601853
1;201511;1179079;1269.60039742884
2;201311;-1570936;1231.56038119949
1;201406;1639406;1183.96530816649
1;201206;1732322;1018.77397273717
2;201403;-1754849;1233.03972820453
2;201510;-1406585;1453.09374620091
1;201602;1276618;1321.71439459572
1;201508;1392340;1279.32828044874
2;201209;-1514407;1091.45046939165
1;201402;1989181;1150.99189917861
2;201607;-1262735;1573.18175705908
2;201604;-1321814;1551.05626207621
1;201706;1181929;1449.68200627957
2;201309;-1594386;1210.79647212156
1;201702;1250830;1424.62267694251
1;201612;869438;1398.69425997023
1;201509;1326732;1337.85681886018
2;201305;-1755092;1178.05017571728
2;201210;-1643585;1097.23637901295
1;201209;1664746;1015.21676099537
2;201405;-1790752;1275.51439171923
2;201602;-1381202;1519.96083121803
1;201705;1242432;1441.98841626745
2;201605;-1282604;1548.7646615791
1;201703;1261332;1445.32580636977
2;201706;-1172109;1689.81328784268
1;201202;1740058;980.358839762813
1;201404;1862511;1167.59680721349
1;201308;1845913;1116.2304523561
2;201411;-1604622;1331.0467081967
2;201701;-1266126;1587.87042600815
2;201312;-1543961;1237.57927564233
2;201302;-1650964;1130.78086923761
2;201506;-1564532;1421.61585701028
2;201201;-1592595;1021.78410832635
2;201601;-1304734;1474.05023705981
1;201203;1881123;988.16879970103
2;201401;-1748480;1216.70926061493
2;201702;-1215219;1638.83878955151
1;201401;1778075;1170.27870309183
2;201703;-1324955;1652.05991071395
1;201701;1225261;1480.28981661866
2;201610;-1179179;1576.7772594322
2;201511;-1309705;1493.85988142368
2;201406;-1614041;1306.4126958361
1;201704;1141850;1460.81265227482
1;201502;1646700;1211.92726179632
1;201207;1753239;1011.54430057739
1;201410;1718369;1185.4033219873
1;201311;1618425;1108.69952083044
1;201310;1841101;1112.0319683711
1;201603;1374483;1335.46778752447
2;201202;-1589459;1037.90336397479
1;201307;1781307;1108.52556633977
1;201512;917031;1275.5096905121
2;201501;-1681866;1318.21386364907
1;201506;1453334;1261.85623951549
1;201208;1819764;1025.16400313447
1;201211;1624304;1008.61004528709
1;201409;1770425;1183.96714800119
2;201704;-1081994;1671.11571690786
1;201510;1237451;1274.85317317615
1;201306;1772191;1101.50745151059
1;201301;1794270;1081.75170570761
2;201504;-1625509;1403.81931075128
2;201612;-1331804;1684.75319641629
2;201307;-1739841;1195.56703514861
1;201405;1849590;1169.7263404322
2;201507;-1555298;1443.92020114473
2;201608;-1287681;1573.75403302526
1;201412;1176896;1175.68901330279
1;201605;1209991;1344.34719018571
2;201212;-1708154;1115.73203118688
2;201503;-1699934;1374.74343062731
1;201505;1464642;1246.53068121766
1;201501;1600093;1253.70724264152
2;201402;-1728354;1258.28851554716
2;201705;-1208180;1648.8332707047
1;201607;1168009;1388.76807028028
1;201507;1397390;1280.08237499911
2;201509;-1422337;1498.0663731591
2;201508;-1478886;1443.66813331115
2;201211;-1578207;1107.03818573863
1;201411;1613005;1177.79803844377
1;201305;1827119;1100.51276189455
1;201610;1104429;1379.16251565288
2;201204;-1581121;1065.43783303112
2;201502;-1649118;1350.00771745867
1;201601;1205038;1365.96736866389
1;201312;1094522;1120.38078540221
2;201606;-1295795;1565.68501267562
2;201410;-1748656;1311.08430588978
2;201609;-1182079;1595.25676287287
2;201310;-1746213;1213.09255113781
1;201604;1258968;1345.33954000419
2;201207;-1610740;1092.89031687299
2;201412;-1732400;1341.79182001847
1;201608;1253726;1374.25704420264
1;201611;1103765;1383.28512681594
2;201603;-1493261;1535.08691782615
1;201503;1719219;1233.02100139656
1;201303;1849146;1072.59127672991
1;201204;1798100;997.114098770925
1;201212;1211216;1019.40107875061
1;201403;1767968;1156.74353099151
1;201606;1204761;1367.35869105989
1;201408;1748817;1193.02882634375
